Num_Acc,id_vehicule,fixed_obstacle ,movable_obstacle,initial_shock,maneuver,motor,occupants_public_transport
201900000248,138 306 051,0,1,3,1,1,0.0
201900000249,138 306 050,6,0,1,14,1,0.0
201900000250,138 306 049,2,0,2,1,1,0.0
201900000251,138 306 048,8,1,2,21,1,0.0
201900000252,138 306 046,0,2,3,13,1,0.0
201900000252,138 306 047,0,2,3,21,1,0.0
201900000253,138 306 044,0,2,1,13,1,0.0
201900000253,138 306 045,0,2,6,1,1,0.0
201900000254,138 306 042,0,2,8,1,5,0.0
201900000254,138 306 043,0,2,0,1,1,0.0
201900000255,138 306 041,3,0,3,17,1,0.0
201900000256,138 306 039,0,2,3,1,1,0.0
201900000256,138 306 040,0,2,7,14,1,0.0
201900000257,138 306 037,0,2,3,1,1,0.0
201900000257,138 306 038,0,0,1,5,5,0.0
201900000258,138 306 036,6,0,1,1,1,0.0
201900000259,138 306 035,13,0,1,1,1,0.0
201900000260,138 306 034,7,0,7,1,1,0.0
201900000261,138 306 032,0,2,2,19,1,0.0
201900000261,138 306 033,0,2,1,1,1,0.0
201900000262,138 306 031,15,0,9,14,1,0.0
201900000263,138 306 030,16,0,7,1,0,0.0
201900000264,138 306 029,13,0,2,13,1,0.0
201900000265,138 306 027,0,2,3,13,1,0.0
201900000265,138 306 028,0,2,1,1,1,0.0
201900000266,138 306 025,0,2,3,13,1,0.0
201900000266,138 306 026,0,2,3,1,1,0.0
201900000267,138 306 024,0,0,2,1,1,0.0
201900000268,138 306 023,0,1,1,1,1,0.0
201900000269,138 306 022,3,0,2,14,1,0.0
201900000270,138 306 020,0,2,1,1,1,0.0
201900000270,138 306 021,0,0,4,1,1,0.0
201900000271,138 306 018,0,2,3,9,1,0.0
201900000271,138 306 019,0,2,1,1,1,0.0
201900000272,138 306 017,17,0,1,1,1,0.0
201900000273,138 306 015,0,2,3,1,1,0.0
201900000273,138 306 016,0,2,1,13,1,0.0
201900000274,138 306 014,0,0,0,1,1,0.0
201900000275,138 306 013,0,1,3,13,1,0.0
201900000276,138 306 011,16,2,1,13,1,0.0
201900000276,138 306 012,16,2,3,1,1,0.0
201900000277,138 306 009,0,2,2,19,1,0.0
201900000277,138 306 010,0,2,6,1,1,0.0
201900000278,138 306 007,0,2,7,17,1,0.0
